name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
B112	B	112	8	6.5	15	red	10	1	B_Sxan_112	8m_Sxan_3	sxan	112	-0.23	0.83	NA	NA	NA	389	10:36	08:00	02:36	2.6	NA	NA	30.07.2015	14.07.2015	3.94
B113	B	113	4.5	7	12	blue	15	0	B_Slep_113	12I_Slep_3	slep	113	1.32	0.7	69.8	0.05	34.2	51	16:19	08:00	08:19	8.32	327	NA	07.08.2015	04.08.2015	5.23
B113	B	113	4.5	7	12	blue	8	1	B_Slep_113	12I_Slep_3	slep	113	1.37	0.79	NA	NA	NA	351	09:42	08:00	01:42	1.7	NA	NA	31.07.2015	14.07.2015	5.23
B117	B	117	6.5	7	6	yellow	2	1	B_Ptom_117	8L_Ptom_6	ptom	117	7.86	1.55	NA	NA	NA	384	09:53	08:00	01:53	1.88	NA	NA	31.07.2015	14.07.2015	4.04
B117	B	117	6.5	7	6	yellow	8	1	B_Ptom_117	8L_Ptom_6	ptom	117	-0.24	0.91	71	0.41	32.8	291	11:21	08:00	03:21	3.35	344	NA	21.08.2015	04.08.2015	4.04
B119	B	119	7.5	7	21	green 	38	1	B_Ssmi_119	Ssmi_5	ssmi	119	-0.33	0.82	70.3	0.32	36.1	314	11:27	08:00	03:27	3.45	219	NA	21.08.2015	04.08.2015	4.14
B120	B	120	8	7	12	blue	20	1	B_Ssem_120	SS	ssem	120	0.73	0.21	69.9	0.15	36.7	348	11:33	08:00	03:33	3.55	413	NA	21.08.2015	04.08.2015	3.14
B121	B	121	4.5	7.5	12	blue	7	1	B_Sxan_121	Sxan_1	sxan	121	-3.19	0.74	NA	NA	NA	79	10:41	08:00	02:41	2.68	NA	NA	30.07.2015	14.07.2015	4.11
B122	B	122	5	7.5	21	green	16	1	B_Dry_122	DL_m_7	dry	122	-0.23	0.43	NA	NA	NA	90	10:46	08:00	02:46	2.77	NA	NA	30.07.2015	14.07.2015	5.27
B122	B	122	5	7.5	21	green 	24	1	B_Dry_122	DL_m_7	dry	122	-0.01	0.26	70.8	0.01	34	51	16:24	08:00	08:24	8.4	381	NA	07.08.2015	04.08.2015	5.27
B123	B	123	5.5	7.5	3	orange	3	0	B_Ssem_123	SS	ssem	123	-0.93	0.33	71.5	0.11	37.1	332	11:39	08:00	03:39	3.65	398	NA	21.08.2015	04.08.2015	3.59
B125	B	125	6.5	7.5	3	orange	3	0	B_Slep_125	Slep_m_122	slep	125	3.8	1.29	70.2	0.09	37	311	11:24	08:00	03:24	3.4	283	NA	20.08.2015	04.08.2015	3.56
B127	B	127	7.5	7.5	15	red	18	1	B_Ssem_127	SS	ssem	127	-0.44	0.26	71.2	0.01	33.9	51	16:30	08:00	08:30	8.5	406	NA	07.08.2015	04.08.2015	2.9
B128	B	128	8	7.5	6	yellow	2	1	B_Spar_128	Sp_m_4	spar	128	-0.68	0.49	NA	NA	NA	317	09:58	08:00	01:58	1.97	NA	NA	31.07.2015	14.07.2015	3.26
B13	B	13	6.5	0.5	0	white	0	0	B_Sjoh_13	SJoh_m	sjoh	13	-0.07	1	70.1	0.05	36.4	142	09:46	08:00	01:46	1.77	331	NA	21.08.2015	04.08.2015	3.27
B13	B	13	6.5	0.5	0	white	0	1	B_Sjoh_13	SJoh_m	sjoh	13	-0.11	0.7	NA	NA	NA	425	12:20	08:00	04:20	4.33	NA	NA	29.07.2015	14.07.2015	3.27
B132	B	132	6	8	9	black 	12	0	B_Ptom_132	Ptom_3	ptom	132	-0.88	0.44	71.1	0.03	31.7	110	11:02	08:00	03:02	3.03	387	NA	07.08.2015	04.08.2015	4.24
B135	B	135	7.5	8	12	blue	15	0	B_Dry_135	DL_m_1	dry	135	2.07	0.71	70.8	0.07	31.8	118	11:10	08:00	03:10	3.17	313	NA	07.08.2015	04.08.2015	6.57
B136	B	136	8	8	15	red	9	1	B_Ptom_136	Pt_m_4	ptom	136	-0.68	0.24	NA	NA	NA	113	13:40	08:00	05:40	5.67	NA	NA	29.07.2015	14.07.2015	3.99
B137	B	137	4.5	8.5	9	black 	12	0	B_Dry_137	DL_m_7	dry	137	2.38	0.8	70.8	0.08	32	146	11:17	08:00	03:17	3.28	324	NA	07.08.2015	04.08.2015	5.22
